sampleID,reads.in,reads.out,no.chim
AA_Sem_Pn_01,86463,19013,14453
AA_Sem_Pn_02,86884,20246,15210
AA_Sem_Pn_03,83825,13641,11019
AA_Sem_Pn_04,78373,18618,13738
AA_Sem_Pn_05,92825,25366,17503
AA_Sem_Pn_06,92242,25358,16987
AA_Sem_Pn_07,91477,20642,15877
AA_Sem_Pn_08,80908,14064,11358
AA_Sem_Pn_09,85624,17093,13003
AA_Sem_Pn_10,99195,24114,17813
BLANK_01,14536,2500,2473
BLANK_02,9475,1860,1847
BLANK_03,6411,1072,1065
BLANK_04,11193,2185,1834
BLANK_05,1794,279,232
BLANK_06,10756,2327,2169
AA_Mer_Fr_01,140643,52184,38273
AA_Mer_Fr_02,149152,53847,37524
AA_Mer_Fr_03,127831,42432,29339
AA_Mer_Fr_04,117974,34122,22546
AA_Mer_Fr_05,116173,45398,32322
AA_Mer_Fr_06,141099,47415,30610
AA_Mer_Fr_07,138137,49514,36050
AA_Mer_Fr_08,159199,56776,38719
AA_Mer_Fr_09,140399,51560,38040
AA_Mer_Fr_10,153305,51961,38202
AA_Mer_Le_01,162302,49398,36412
AA_Mer_Le_02,146585,42504,29220
AA_Mer_Le_03,134616,42369,27542
AA_Mer_Le_04,152606,49796,31027
AA_Mer_Le_05,120510,44650,31161
AA_Mer_Le_06,125348,40574,24190
AA_Mer_Le_07,131850,40772,26816
AA_Mer_Le_08,142739,42299,27893
AA_Mer_Le_09,156870,52879,35389
AA_Mer_Le_10,136490,44777,28031
AA_Mer_Pn_01,155385,49765,32161
AA_Mer_Pn_02,179755,51830,37911
AA_Mer_Pn_03,217751,75458,47483
AA_Mer_Pn_04,175652,67423,42672
AA_Mer_Pn_05,175301,64161,40523
AA_Mer_Pn_06,171672,65413,43830
AA_Mer_Pn_07,188499,60543,43028
AA_Mer_Pn_08,135223,40676,26562
AA_Mer_Pn_09,148863,46939,34772
AA_Mer_Pn_10,130957,48141,33362
AA_Mer_So_01,116546,41566,20451
AA_Mer_So_02,124721,43939,22673
AA_Mer_So_03,141456,53897,36043
AA_Mer_So_04,158305,53294,28092
AA_Mer_So_05,156954,52790,26466
AA_Mer_So_06,129270,46365,28017
AA_Mer_So_07,118157,46768,24615
AA_Mer_So_08,165231,56756,28834
AA_Mer_So_09,138391,50729,28592
AA_Mer_So_10,129905,39166,21394
AA_Sem_Fr_07,151189,49698,39218
AA_Sem_Fr_08,132292,40716,28471
AA_Sem_Fr_09,147574,45152,33718
AA_Sem_Fr_10,109199,35833,26833
AA_Sem_So_01,204437,73507,26668
AA_Sem_So_02,220747,74071,25381
AA_Sem_So_03,218087,75510,26838
AA_Sem_So_04,252784,92474,36881
AA_Sem_So_05,160358,48818,16221
AA_Sem_So_06,169776,69365,23946
AA_Sem_So_07,190206,76028,27987
AA_Sem_So_08,179431,58234,19639
AA_Sem_So_09,172083,66133,21960
AA_Sem_So_10,189132,69727,22714
AA_TBali_Fr_01,139717,51061,37744
AA_TBali_Fr_02,163426,61137,45371
AA_TBali_Fr_03,140279,48762,33768
AA_TBali_Fr_04,124861,45134,31686
AA_TBali_Fr_05,198418,64540,41213
AA_TBali_Fr_06,153650,54192,38194
AA_TBali_Fr_07,115044,47974,30350
AA_TBali_Fr_08,172100,58883,39724
AA_TBali_Fr_09,136965,43512,30153
AA_TBali_Fr_10,180686,64345,39408
AA_TBali_Le_01,114344,36946,24482
AA_TBali_Le_02,94512,32653,21359
AA_TBali_Le_03,91178,27623,19405
AA_TBali_Le_04,137292,45946,31106
AA_TBali_Le_05,148040,52402,36753
AA_TBali_Le_06,145902,44081,29336
AA_TBali_Le_07,132788,43351,29335
AA_TBali_Le_08,128923,39239,28069
AA_TBali_Le_09,131258,41281,28085
AA_TBali_Le_10,145476,46608,34710
AA_TBali_Pn_01,140750,44404,33700
AA_TBali_Pn_02,114122,38524,27323
AA_TBali_Pn_03,162689,59175,41500
AA_TBali_Pn_04,118395,40161,26976
AA_TBali_Pn_05,148925,47912,36150
AA_TBali_Pn_06,151745,49902,34927
AA_TBali_Pn_07,114309,38276,28261
AA_TBali_Pn_08,142656,48642,33102
AA_TBali_Pn_09,122142,36518,26735
AA_TBali_Pn_10,126176,47006,32309
AA_TBali_So_01,205064,71909,45001
AA_TBali_So_02,127213,45801,25321
AA_TBali_So_03,146066,53427,29553
AA_TBali_So_04,175472,61677,37105
AA_TBali_So_05,174349,70692,42773
AA_TBali_So_06,178079,62406,36368
AA_TBali_So_07,166195,64650,40912
AA_TBali_So_08,181663,62823,39447
AA_TBali_So_09,188172,57623,35427
AA_TBali_So_10,124313,46866,29509
BLANK_07,9415,3229,2676
BLANK_08,9763,1793,1537
BLANK_09,11999,2926,2722
